,ville_code_commune,duration_toulouse,distance_toulouse,base_duration_toulouse
962,12052,8130,192346,7877
963,12161,7997,179860,7828
964,12129,7185,145321,7081
965,12288,7476,173391,7289
966,12036,11439,239019,11142
967,12041,5487,127421,5314
968,12139,9800,185359,9574
969,12057,6867,144505,6677
970,12249,7198,142419,6962
971,12084,9767,185618,9402
972,12111,7907,172711,7645
973,12137,6152,143257,5956
974,12212,9473,182851,9175
975,12225,9213,178473,8900
976,12266,7889,182723,7671
977,12192,7944,154831,7693
978,12248,6385,130934,6131
979,12193,8355,187344,8234
980,12203,8909,172611,8651
981,12014,10208,211107,10013
982,12154,7482,150565,7232
983,12155,9656,185511,9352
984,12250,10839,227290,10660
985,12185,7511,168657,7295
986,12279,10489,222067,10254
987,12204,10773,228190,10582
988,12069,7953,180931,7799
989,12088,9608,207039,9386
990,12002,9312,207266,9122
991,12229,8793,170070,8480
992,12152,5825,124241,5680
993,12089,8646,184846,8383
994,12110,9404,197407,9198
995,12215,7750,178042,7554
996,12272,8193,194985,7940
997,12040,8709,197725,8560
998,12013,8527,183311,8303
999,12135,6704,124439,6304
1000,12175,7227,138053,6951
1001,12065,5894,134124,5749
1002,12022,9121,178566,8887
1003,12269,6808,137750,6544
1004,12304,10568,225130,10296
1005,12173,8577,190103,8442
1006,12241,7139,163343,6934
1007,12295,9753,183071,9443
1008,12261,7394,140527,7085
1009,12268,9009,197483,8900
1010,12191,7816,174323,7563
1011,12165,7622,174310,7420
1012,12178,9312,207266,9122
1013,12177,7915,183036,7745
1014,12159,7403,134848,7033
1015,12045,5727,136796,5543
1016,12199,7366,163953,7081
1017,12112,10837,226710,10655
1018,12090,6969,163717,6764
1019,12151,10806,218310,10518
1020,12068,6602,151511,6371
1021,12076,8836,193904,8703
1022,12064,8997,196507,8800
1023,12256,6978,134480,6651
1024,12276,4972,120267,4799
1025,12301,6990,135688,6671
1026,12189,6583,140681,6408
1027,12190,7177,163815,6916
1028,12004,9587,205360,9403
1029,12056,5682,138249,5497
1030,12037,7234,146703,7079
1031,12285,7016,129368,6609
1032,12140,6453,123577,6177
1033,12160,10114,217624,9840
1034,12296,8777,174949,8561
1035,12282,9002,173706,8678
1036,12260,10286,287137,10083
1037,12286,7876,156444,7635
1038,12168,10430,288572,10212
1039,12006,7175,149323,7031
1040,12025,7519,150403,7234
1041,12235,5146,125358,4968
1042,12138,7440,173220,7288
1043,12213,8565,172909,8318
1044,12233,7250,143642,6988
1045,12063,10114,284685,9975
1046,12061,9619,199644,9381
1047,12136,7191,137956,6891
1048,12289,8182,177587,7989
1049,12099,8470,167490,8198
1050,12038,6565,137449,6422
1051,12251,8462,161709,8268
1052,12074,9919,207863,9566
1053,12147,9084,174195,8905
1054,12060,6249,134564,6086
1055,12080,6653,133055,6433
1056,12255,7248,148967,7066
1057,12196,8587,195308,8472
1058,12091,7468,144963,7181
1059,12210,6027,115246,5704
1060,12010,7691,179201,7492
1061,12117,10238,219678,9962
1062,12182,8638,194826,8482
1063,12216,8718,189946,8468
