objectid;id_rte500;nature;toponyme;type;codeuic;region;departement;date_maj;geo_shape;geo_point_2d
292;4780;Gare de voyageurs;Route-de-Launaguet;halte ferroviaire;87611954;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.439901181573906, 43.63507587249015]}";43.6350758725,1.43990118157
303;4959;Gare de voyageurs et de fret;Tarascon-sur-Ariège;gare avec accueil du public;87611590;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.599939424141113, 42.849812916379605]}";42.8498129164,1.59993942414
308;5011;Gare de voyageurs;Porté-Puymorens;halte ferroviaire;87611509;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.825079837010658, 42.53925752872235]}";42.5392575287,1.82507983701
20;1608;Gare de voyageurs;Villefort;gare avec accueil du public;87775197;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.923514846044329, 44.43946852438858]}";44.4394685244,3.92351484604
23;1729;Gare de voyageurs;Port-Vendres;halte ferroviaire;87784264;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.102397118275859, 42.51337577778661]}";42.5133757778,3.10239711828
26;1739;Gare de voyageurs;Montlaur;halte ferroviaire;87618207;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.577717446118983, 43.47531695421071]}";43.4753169542,1.57771744612
38;1911;Gare de voyageurs;Olette-Canaveilles-les-Bains;halte ferroviaire;87784728;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.272509051697663, 42.554636592136994]}";42.5546365921,2.2725090517
45;1964;Gare de voyageurs;Quillan;halte ferroviaire;87615260;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.181545722575575, 42.873743029704535]}";42.8737430297,2.18154572258
57;2105;Gare de voyageurs;Génolhac;gare avec accueil du public;87775213;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.951266844694229, 44.346861720192194]}";44.3468617202,3.95126684469
60;2222;Gare de voyageurs;Luchon;gare avec accueil du public;87611236;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.596599645992219, 42.79711079685333]}";42.7971107969,0.596599645992
69;2256;Gare de voyageurs;Labruguière;halte ferroviaire;87615526;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.259297025050342, 43.54269083588572]}";43.5426908359,2.25929702505
76;2273;Gare de voyageurs;Chirac;halte ferroviaire;87783290;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.263905418447205, 44.523855566948804]}";44.5238555669,3.26390541845
90;2537;Gare de voyageurs;Venerque-Le-Vernet;halte ferroviaire;87611392;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.425878325020422, 43.433725162012834]}";43.433725162,1.42587832502
93;2558;Gare de voyageurs;Perpignan;gare avec accueil du public;87784009;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.8796272182832183, 42.696086371190745]}";42.6960863712,2.87962721828
95;2560;Gare de voyageurs et de fret;Montréjeau-Gourdan-Polignan;gare avec accueil du public;87611152;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.573509109825181, 43.078043757479904]}";43.0780437575,0.573509109825
97;2568;Gare de voyageurs;Sainte-Cécile-d'Andorge;halte ferroviaire;87775239;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.975767415074996, 44.255730296488004]}";44.2557302965,3.97576741507
102;2575;Gare de voyageurs et de fret;Gaillac;gare avec accueil du public;87615252;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.894734635797652, 43.90627502403617]}";43.906275024,1.8947346358
104;2577;Gare de voyageurs;Saint-Césaire;halte ferroviaire;87775072;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.327090978755785, 43.81295435692702]}";43.8129543569,4.32709097876
106;2585;Gare de voyageurs et de fret;Cordes-Vindrac;gare avec accueil du public;87613802;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.900087152161388, 44.066919724944086]}";44.0669197249,1.90008715216
110;2595;Gare de voyageurs;La Bastide-Saint-Laurent;halte ferroviaire;87775171;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.904109741552067, 44.593488308184824]}";44.5934883082,3.90410974155
113;2732;Gare de voyageurs;Mérens-les-Vals;halte ferroviaire;87611525;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.8371263692724051, 42.659599759679246]}";42.6595997597,1.83712636927
120;2751;Gare de voyageurs et de fret;Escalquens;gare avec accueil du public;87611707;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.5423628862355652, 43.516837135949636]}";43.5168371359,1.54236288624
134;3029;Gare de voyageurs et de fret;Luzenac-Garanou;halte ferroviaire;87611558;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.753361363863398, 42.76435737609917]}";42.7643573761,1.75336136386
136;3037;Gare de voyageurs;Martres-Tolosane;halte ferroviaire;87611087;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.016588160505517, 43.196132612755065]}";43.1961326128,1.01658816051
142;3058;Gare de voyageurs;Saint-Rome-de-Cernon;halte ferroviaire;87783431;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.967367299752249, 44.0140373910544]}";44.0140373911,2.96736729975
146;3066;Gare de voyageurs et de fret;Rodez;gare avec accueil du public;87613422;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.582710679468697, 44.362495693029835]}";44.362495693,2.58271067947
148;3068;Gare de voyageurs;Les Salelles;halte ferroviaire;87783514;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.281341054817468, 44.483396999504976]}";44.4833969995,3.28134105482
